Sales_Order #,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,,,
000261273,10/1/2021,1,October,2021,48,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-550-W Yellow, 40",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261274,10/1/2021,1,October,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Road Bikes,"Road-650 Red, 44",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261275,10/1/2021,1,October,2021,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261276,10/1/2021,1,October,2021,40,Adults (35-64),F,Australia,Queensland,Bikes,Road Bikes,"Road-350-W Yellow, 40",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261277,10/1/2021,1,October,2021,28,Young Adults (25-34),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261278,10/1/2021,1,October,2021,36,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-650 Red, 62",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261279,10/1/2021,1,October,2021,53,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261280,10/1/2021,1,October,2021,62,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 56",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261281,10/2/2021,2,October,2021,28,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261282,10/2/2021,2,October,2021,29,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3,$713.00,"$1,120.00","$1,221.00","$2,139.00","$3,360.00",,,
000261283,10/2/2021,2,October,2021,28,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261284,10/2/2021,2,October,2021,47,Adults (35-64),F,United States,California,Bikes,Road Bikes,"Road-350-W Yellow, 42",2,$713.00,"$1,120.00",$814.00,"$1,426.00","$2,240.00",,,
000261285,10/2/2021,2,October,2021,38,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Red, 44",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261286,10/2/2021,2,October,2021,43,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 52",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261287,10/2/2021,2,October,2021,46,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-150 Red, 52",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261288,10/2/2021,2,October,2021,50,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-500 Black, 44",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261289,10/3/2021,3,October,2021,34,Young Adults (25-34),F,Australia,New South Wales,Bikes,Road Bikes,"Road-250 Black, 44",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261290,10/3/2021,3,October,2021,46,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 48",4,$713.00,"$1,120.00","$1,628.00","$2,852.00","$4,480.00",,,
000261291,10/3/2021,3,October,2021,30,Young Adults (25-34),F,Germany,Hamburg,Bikes,Road Bikes,"Road-250 Black, 44",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261292,10/3/2021,3,October,2021,36,Adults (35-64),M,Australia,South Australia,Bikes,Road Bikes,"Road-550-W Yellow, 48",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
000261293,10/3/2021,3,October,2021,38,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-250 Red, 58",1,$713.00,"$1,120.00",$407.00,$713.00,"$1,120.00",,,
